,Countries,Raw_Score_08,GHI_08,Average dietary energy supply adequacy,Average value of food production,"Share of Dietary Energy Supply Derived from Cereals, Roots and Tubers",Average protein supply,Average supply of protein of animal origin,Percent of paved roads over total roads,Road density (per 100 square km of land area),Rail lines density (per 100 square km of land area),Gross domestic product per capita (in purchasing power equivalent),Domestic food price level index,Prevalence of undernourishment,Depth of the food deficit,Prevalence of food inadequacy,Cereal import dependecy ratio,Percent of arable land equipped for irrigation,Value of food imports in total merchandise exports,Political stability and absence of violence/terrorism,Domestic food price volatility index,Per capita food production variability,Per capita food supply variability,Percentage of population with access to improved water sources,Percentage of population with access to sanitation facilities,Percentage of children under 5 years of age affected by wasting,Percentage of children under 5 years of age who are stunted,Percentage of children under 5 years of age who are underweight,Prevalence of anaemia among pregnant women,Prevalence of anaemia among children under 5 years of age,undernourished,wasting,stunting,underfive,score
36,Ecuador,4.9,0,108,478,33,65,40,,,,9285.8,3.31,15.8,104,26.4,35.3,100,6,-0.73,10.3,7.1,23,83.9,78.5,,,,31.2,40,19.3,2.3,29,2.9,19
37,Egypt,4.9,0,150,271,65,101,23,,,0.5,9534,6.07,<5.0,22,5.9,41.1,100,33,-0.52,14.3,7,37,97.8,93.3,7.9,30.7,6.8,30.6,45.5,3.8,4.9.3,23.8,3.1,13.1
38,El Salvador,6.5,1,114,153,48,71,25,51.1,33.8,,7633.1,6.52,11.5,77,19.1,39.8,6.6,26,0.05,12.9,5.3,19,88.5,69.4,1.6,20.6,6.6,30.4,26.3,10.2,1.3,24.6,2.4,13.1
39,Eritrea,39,30,,,,,,,,,1301.7,,,,,53,3.1,861,-0.71,,6.2,,55.3,14,,,,39.4,63.2,0,12.9,49.6,7,0
40,Estonia,4.9,0,128,384,36,95,52,,129.1,1.8,25299.5,2.78,<5.0,,,-17.2,0.7,8,0.54,11.3,12.6,36,99.4,97.1,,,,26,25.1,3.6,3.6,4.9.9,0.7,4.9.6
41,Ethiopia,31,30,95,102,77,60,8,,,,925.7,6.76,39.5,291,48.9,11.3,2.1,61,-1.71,15.3,2.5,33,43.9,19.1,,,,27.6,54.3,45.9,12.3,4.90.7,11,48.4.9
42,Fiji,7.3,1,123,234,48,73,31,,,,7823.7,4.94,<5.0,30,9.1,93.2,2.4,32,-0.05,12.9,17.4,16,94.3,86.8,,,,37.2,32,4.3,6.3,7.4.9,2.3,9.3
43,Gabon,7.6,1,121,155,51,81,40,,,0.3,15849.3,4.75,<5.0,27,9.5,83.3,1.2,5,0.24,8.6,2.5,14,89.9,40.5,,,,60.1,61,3.9,3.8,22,7.6,16.2
44,Gambia,17.3,2,122,87,63,65,16,,,,1557.1,6.99,11.2,71,16.9,42.8,0.9,251,0.08,5.4,13.6,54,87.7,58.9,,,,59.6,68.2,15,7.4,27.6,9.8,26.3
45,Georgia,NA,NA,113,152,57,76,27,,26.4,2.2,5899.6,,7.6,58,15.5,66.5,98.1,49,-0.91,,28.4,98,95.3,90.5,,,,26.2,26.8,6.3,3,14.7,2.4.9,10.2
